1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        53.20        128.86         0.68       7671.14
        53.30        128.22         0.68       7671.78
        53.40        127.58         0.68       7672.42
        53.50        126.94         0.68       7673.06
        53.60        126.30         0.67       7673.70
        53.70        125.66         0.67       7674.34
        53.80        125.03         0.67       7674.97
        53.90        124.39         0.67       7675.61
        54.00        123.76         0.67       7676.24
        54.10        123.12         0.67       7676.88
        54.20        122.49         0.67       7677.51
        54.30        121.86         0.67       7678.14
        54.40        121.23         0.67       7678.77
        54.50        120.60         0.67       7679.40
        54.60        119.97         0.66       7680.03
        54.70        119.34         0.66       7680.66
        54.80        118.72         0.66       7681.28
        54.90        118.10         0.66       7681.90
        55.00        117.47         0.66       7682.53
        55.10        116.85         0.66       7683.15
        55.20        116.23         0.66       7683.77
        55.30        115.61         0.66       7684.39
        55.40        114.99         0.66       7685.01
        55.50        114.37         0.65       7685.63
        55.60        113.76         0.65       7686.24
        55.70        113.14         0.65       7686.86
        55.80        112.53         0.65       7687.47
        55.90        111.92         0.65       7688.08
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        56.00        111.31         0.65       7688.69
        56.10        110.70         0.65       7689.30
        56.20        110.09         0.65       7689.91
        56.30        109.48         0.65       7690.52
        56.40        108.87         0.64       7691.13
        56.50        108.27         0.64       7691.73
        56.60        107.67         0.64       7692.33
        56.70        107.06         0.64       7692.94
        56.80        106.46         0.64       7693.54
        56.90        105.86         0.64       7694.14
        57.00        105.26         0.64       7694.74
        57.10        104.67         0.64       7695.33
        57.20        104.07         0.64       7695.93
        57.30        103.48         0.63       7696.52
        57.40        102.88         0.63       7697.12
        57.50        102.29         0.63       7697.71
        57.60        101.70         0.63       7698.30
        57.70        101.11         0.63       7698.89
        57.80        100.52         0.63       7699.48
        57.90         99.94         0.63       7700.06
        58.00         99.35         0.63       7700.65
        58.10         98.77         0.62       7701.23
        58.20         98.19         0.62       7701.81
        58.30         97.60         0.62       7702.40
        58.40         97.02         0.62       7702.98
        58.50         96.45         0.62       7703.55
        58.60         95.87         0.62       7704.13
        58.70         95.29         0.62       7704.71
        58.80         94.72         0.61       7705.28
        58.90         94.15         0.61       7705.85
        59.00         93.57         0.61       7706.43
        59.10         93.00         0.61       7707.00
        59.20         92.44         0.61       7707.56
        59.30         91.87         0.61       7708.13
        59.40         91.30         0.61       7708.70
        59.50         90.74         0.61       7709.26
        59.60         90.17         0.60       7709.83
        59.70         89.61         0.60       7710.39
        59.80         89.05         0.60       7710.95
        59.90         88.49         0.60       7711.51
        60.00         87.94         0.60       7712.06
        60.10         87.38         0.60       7712.62
        60.20         86.83         0.60       7713.17
        60.30         86.27         0.59       7713.73
        60.40         85.72         0.59       7714.28
        60.50         85.17         0.59       7714.83
        60.60         84.62         0.59       7715.38
        60.70         84.07         0.59       7715.93
        60.80         83.53         0.59       7716.47
        60.90         82.98         0.59       7717.02
        61.00         82.44         0.58       7717.56
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        61.10         81.90         0.58       7718.10
        61.20         81.36         0.58       7718.64
        61.30         80.82         0.58       7719.18
        61.40         80.28         0.58       7719.72
        61.50         79.75         0.58       7720.25
        61.60         79.22         0.58       7720.78
        61.70         78.68         0.57       7721.32
        61.80         78.15         0.57       7721.85
        61.90         77.62         0.57       7722.38
